Row 001: ['  BILL OF MATERIALS — Customer-Specific', None, None, None, None, None, None, None, None, None, None]
Row 002: ['Product ID', 'BOM ID', 'Customer', 'Product Name', 'Dia', 'Material Category', 'Item ID', 'Item Name', 'UOM', 'Per 1000 Units', 'Material Group']
Row 003: [6561, 190, 'Brookes Pharma Private Limited', 'ECZEMUS OINTMENT 0.03% 10G', 16, 'SLUG', 2799, '16x4.5', 'kg', 2.51889, 'Aluminum Slugs']
Row 004: [6561, 190, 'Brookes Pharma Private Limited', 'ECZEMUS OINTMENT 0.03% 10G', 16, 'BASE COAT', 3595, 'POLYSTER BASE COAT WHITE 234', 'kg', 0.29, 'Base Coat']
Row 005: [6561, 190, 'Brookes Pharma Private Limited', 'ECZEMUS OINTMENT 0.03% 10G', 16, 'CAP', 69, 'M-7 S/M F/P (S) WHITE', 'PCS', 1000, 'Caps']
Row 006: [6561, 190, 'Brookes Pharma Private Limited', 'ECZEMUS OINTMENT 0.03% 10G', 16, 'CARTON', 36, '16X200 3Ply', 'PCS', 5, 'Cartons']
Row 007: [6561, 190, 'Brookes Pharma Private Limited', 'ECZEMUS OINTMENT 0.03% 10G', 16, 'ZINC POWDER', 194, 'ZINC STEARATE', 'kg', 0.00261964, 'Zinc Stearate']
Row 008: [6561, 190, 'Brookes Pharma Private Limited', 'ECZEMUS OINTMENT 0.03% 10G', 16, 'LACQUER', 4155, 'E/P LACQUER 4000 A/R', 'L', 0.17, 'Lacquer']
Row 009: [6561, 190, 'Brookes Pharma Private Limited', 'ECZEMUS OINTMENT 0.03% 10G', 16, 'THINNER', 190, 'THINNER FOR LACQUER SOL R/C', 'L', 0.06, 'Thinner']
Row 010: [6561, 190, 'Brookes Pharma Private Limited', 'ECZEMUS OINTMENT 0.03% 10G', 16, 'TAPE', 3635, 'PACKING TAPE 2" OF 60 YARDS', 'PCS', 0.119, 'Packing Tape']
Row 011: [6561, 190, 'Brookes Pharma Private Limited', 'ECZEMUS OINTMENT 0.03% 10G', 16, 'CARTON', 200, 'DIA 16 5Ply', 'PCS', 0.55, 'Cartons']
Row 012: [6561, 190, 'Brookes Pharma Private Limited', 'ECZEMUS OINTMENT 0.03% 10G', 16, 'JALI', 52, '16X200 J', 'pcs', 5, 'Jali']
Row 013: [1085, 187, 'Brookes Pharma Private Limited', 'PYODINE GEL 20GM', 19, 'SLUG', 22, '19X4.2', 'kg', 3.367, 'Aluminum Slugs']
Row 014: [1085, 187, 'Brookes Pharma Private Limited', 'PYODINE GEL 20GM', 19, 'BASE COAT', 3595, 'POLYSTER BASE COAT WHITE 234', 'kg', 0.31, 'Base Coat']
Row 015: [1085, 187, 'Brookes Pharma Private Limited', 'PYODINE GEL 20GM', 19, 'CAP', 81, 'M-9 S/M F/P WHITE (S)', 'PCS', 1000, 'Caps']
Row 016: [1085, 187, 'Brookes Pharma Private Limited', 'PYODINE GEL 20GM', 19, 'CARTON', 39, '19X200 3Ply', 'PCS', 5, 'Cartons']
Row 017: [1085, 187, 'Brookes Pharma Private Limited', 'PYODINE GEL 20GM', 19, 'ZINC POWDER', 194, 'ZINC STEARATE', 'kg', 0.0034, 'Zinc Stearate']
Row 018: [1085, 187, 'Brookes Pharma Private Limited', 'PYODINE GEL 20GM', 19, 'TAPE', 3635, 'PACKING TAPE 2" OF 60 YARDS', 'PCS', 0.138, 'Packing Tape']
